asset,name,px
NAS0255,Books-A-Million,3.1
NAS0256,BancFirst,59.87
NAS0257,Banner,43.67
NAS0258,Bioanalytical Systems,1.6
NAS0259,Bed Bath&Beyond,62.32
NAS0260,BBCN Bancorp,14.41
NAS0261,BreitBurn Energy Partners,2.9
NAS0262,Beasley Broadcast Group Cl A,4.07
NAS0263,Blue Earth,0.8
NAS0264,Black Box,15.07
NAS0265,Bravo Brio Restaurant Group,12.72
NAS0266,BlackBerry,7.37
NAS0267,Barrett Business Services,35.46
NAS0268,BCB Bancorp,11.51
NAS0269,Brainstorm Cell Therapeutics,3.04
NAS0270,Blucora,13.81
NAS0271,Brightcove,5.32
NAS0272,Balchem,58.23
NAS0273,BioCryst Pharmaceuticals,11.42
NAS0274,Boulder Brands,8.39
NAS0275,Black Diamond,7.5
NAS0276,Bridge Bancorp,26.21
NAS0277,BioDelivery Sciences International,6.87
NAS0278,BioTelemetry,14.67
NAS0279,B/E Aerospace,49.39
NAS0280,bebe stores,1.35
NAS0281,Beacon Roofing Supply,35.38
NAS0282,Bel Fuse Cl A,15.34
NAS0283,Bel Fuse Cl B,17.97
NAS0284,BankFinancial,11.98
NAS0285,BGC Partners Cl A,8.73
NAS0286,Big 5 Sporting Goods,11.1
NAS0287,BG Medicine,0.73
NAS0288,Barington/Hilco Acquisition,9.81
NAS0289,Blue Hills Bancorp,13.84
NAS0290,Baidu ADR,152.13
NAS0291,Biogen,303.69
NAS0292,BIND Therapeutics,4.45
NAS0293,Biocept,1.98
NAS0294,Biodel,0.64
NAS0295,Biolase,1.43
NAS0296,BioScrip,2.46
NAS0297,Biotie Therapies ADR,17.09
NAS0298,BJ's Restaurants,44.26
NAS0299,Blueknight Energy Partners G.P.,6.34
NAS0300,Blueknight Energy Partners Series A,7.61
NAS0301,Bank Mutual,7.2
NAS0302,Bank of South Carolina,16.38
NAS0303,Blue Bird,11.77
NAS0304,Bellicum Pharmaceuticals,17.34
NAS0305,Ballard Power Systems,1.28
NAS0306,Builders FirstSource,14.48
NAS0307,BioLife Solutions,2.03
NAS0308,Bridgeline Digital,1.4
NAS0309,Blackbaud,57.86
NAS0310,Bloomin' Brands,20.51
NAS0311,BSB Bancorp,20.6
NAS0312,Bellerophon Therapeutics,5.02
NAS0313,BioLine RX ADR,1.53
NAS0314,bluebird bio,137.47
NAS0315,Bank of Marin Bancorp,47.78
NAS0316,BioMarin Pharmaceutical,133.18
NAS0317,Bryn Mawr Bank,29.2
NAS0318,Beneficial Bancorp,12.42
NAS0319,BNC Bancorp,20.56
NAS0320,Benefitfocus,36.35
NAS0321,Bonso Electronics International,1.33
NAS0322,Benitec Biopharma ADR,8
NAS0323,Benitec Biopharma WT,2.6
NAS0324,Bob Evans Farms,43.6
NAS0325,Bank of Commerce Holdings,5.75
NAS0326,BofI Holding,117.62
NAS0327,Bojangles',21.44
NAS0328,BOK Financial,62.38
NAS0329,Bona Film Group ADR,11.64
NAS0330,Bon-Ton Stores,3.73
NAS0331,Dynamic Materials,10.64
NAS0332,B.O.S. Better Online Solutions,2.17
NAS0333,Biota Pharmaceuticals,2.08
NAS0334,Boston Private Financial Holdings,11.79
NAS0335,Boston Private Financial Holdings Wt,5.15
NAS0336,Blueprint Medicines,26.84
NAS0337,Popular,28.55
NAS0338,Bio-Path Holdings,1.11
NAS0339,Brocade Communications Systems,10.71
NAS0340,Broadcom,51.79
NAS0341,Craft Brew Alliance,7.97
NAS0342,Brookline Bancorp,10.51
NAS0343,Bruker,18.58
NAS0344,Brooks Automation,10.41
NAS0345,Bassett Furniture Industries,28.97
NAS0346,Bear State Financial,8.56
NAS0347,BroadSoft,31.63
NAS0348,Biostar Pharmaceuticals,0.67
NAS0349,BSQUARE,6.15
NAS0350,Sierra Bancorp,16.85
NAS0351,BioSpecifics Technologies,52.12
NAS0352,Blue Buffalo Pet Products,26.31
NAS0353,Burcon Nutrascience,1.75
NAS0354,First Busey,6.36
NAS0355,Bazaarvoice,5.16
NAS0356,Cordia Bancorp,3.75
NAS0357,Broadvision,6.01
NAS0358,Biondvax Pharmaceuticals ADR,3.63
NAS0359,Biondvax Pharmaceuticals WT,0.7
NAS0360,Broadwind Energy,3.18
NAS0361,Bankwell Financial Group,17.89
NAS0362,Baldwin&Lyons Cl B,23.05
NAS0363,Buffalo Wild Wings,194.06
NAS0364,Bay Bancorp,4.88
NAS0365,Broadway Financial,1.46
NAS0366,Baylake,12.75
NAS0367,Baozun ADR,5.28
NAS0368,CA,27.26
NAS0369,China Automotive Systems,6.56
NAS0370,Camden National,40.25
NAS0371,Cascade Bancorp,5.28
NAS0372,Credit Acceptance,197.51
NAS0373,Caesars Acquisition Cl A,7.53
NAS0374,8Point3 Energy Partners,14.91
NAS0375,Cheesecake Factory,55.52
NAS0376,Calithera Biosciences,5.78
NAS0377,Callidus Software,15.94
NAS0378,China Auto Logistics,0.88
NAS0379,magicJack VocalTec,8.66
NAS0380,Cal-Maine Foods,50.25
NAS0381,Cambridge Capital Acquisition,9.95
NAS0382,CalAmp,16.59
NAS0383,Camtek,2.72
NAS0384,Capnia,2.27
NAS0385,Capricor Therapeutics,4.28
NAS0386,Avis Budget Group,44.12
NAS0387,Cara Therapeutics,19.25
NAS0388,Carbonite,11.28
NAS0389,Carolina Financial,15.5
NAS0390,Carolina Trust Bank,5.35
NAS0391,Carver Bancorp,7.01
NAS0392,Meta Financial Group,43.76
NAS0393,CASI Pharmaceuticals,1.42
NAS0394,CAS Medical Systems,1.13
NAS0395,Cass Information Systems,48.74
NAS0396,Casey's General Stores,106.08
NAS0397,Catabasis Pharmaceuticals,12.29
NAS0398,Cardtronics,34.65
NAS0399,Cathay General Bancorp,29.47
NAS0400,Cavium,68.35
NAS0401,China BAK Battery,2.02
NAS0402,Colony Bankcorp,8.75
NAS0403,CymaBay Therapeutics,2.63
NAS0404,Capital Bank Financial,29.7
NAS0405,CB Financial Services,21.25
NAS0406,Catalyst Biosciences,9
NAS0407,Cleveland BioLabs,3.8
NAS0408,Cellular Biomedicine Group,23.56
NAS0409,CombiMatrix,1.1
NAS0410,Cape Bancorp,11.09
NAS0411,Chicopee Bancorp,16.25
NAS0412,CBOE Holdings,63.82
NAS0413,China Biologic Products,100.21
NAS0414,Cracker Barrel Old Country Store,145.82
NAS0415,Commerce Bancshares,44.59
NAS0416,Carbylan Therapeutics,5.38
NAS0417,Capital City Bank Group,14.99
NAS0418,China Ceramics,0.78
NAS0419,China Commercial Credit,0.8
NAS0420,ChinaCache International Holdings ADR,7.31
NAS0421,CSI Compressco,15.38
NAS0422,Cabot Microelectronics,43.53
NAS0423,CNB Financial (Pennsylvania),16.98
NAS0424,Cogent Communications Holdings,27.46
NAS0425,Cross Country Healthcare,14.14
NAS0426,Concurrent Computer,5.46
NAS0427,ChemoCentryx,6.5
NAS0428,CDK Global,49.69
NAS0429,CareDx,6.86
NAS0430,Cadence Design Systems,20.14
NAS0431,Condor Hospitality Trust,1.35
NAS0432,Code Rebel,13.97
NAS0433,Clean Diesel Technologies,1.61
NAS0434,Cidara Therapeutics,14.67
NAS0435,CDW,39.97
NAS0436,Codexis,3.8
NAS0437,Cadiz,8.14
NAS0438,Ceco Environmental,9.72
NAS0439,Career Education,3.78
NAS0440,Celgene,124.04
NAS0441,Celgene Rt,1.81
NAS0442,Chembio Diagnostics,4.25
NAS0443,Cempra,35.8
NAS0444,Central Garden&Pet,12.18
NAS0445,Central Garden&Pet Cl A,12.55
NAS0446,Century Aluminum,5.51
NAS0447,Ceres,1.14
NAS0448,Cerner,63.13
NAS0449,Cerus,4.85
NAS0450,Cerulean Pharma,3.78
NAS0451,Hongli Clean Energy Technologies,0.76
NAS0452,Central European Media Enterprises Cl A,2.14
NAS0453,Cemtrex,2.41
NAS0454,CEVA,19.13
NAS0455,Central Federal,1.37
NAS0456,C&F Financial,36.19
NAS0457,Capitol Federal Financial,12.03
NAS0458,ConforMIS,19.78
NAS0459,California First National Bancorp,13.31
NAS0460,Cardinal Financial,21.88
NAS0461,ContraFect,5.15
NAS0462,ContraFect WT Cl A,1.95
NAS0463,ContraFect WT Cl B,0.6
NAS0464,Carlyle Group,21.9
NAS0465,Compugen,5.2
NAS0466,Cancer Genetics,9.96
NAS0467,Cogentix Medical,1.53
NAS0468,Cognex,35.49
NAS0469,Comstock Holding Cl A,0.64
NAS0470,City Holding,47.25
NAS0471,Churchill Downs,133.5
NAS0472,Chefs' Warehouse,15.73
NAS0473,Check-Cap,2.1
NAS0474,Cheviot Financial,14.42
NAS0475,Chemical Financial,31.4
NAS0476,Charter Financial,12.38
NAS0477,Cherokee,25.46
NAS0478,Check Point Software Technologies,78.86
NAS0479,China Housing&Land Development,1.99
NAS0480,Chiasma,25.42
NAS0481,Chemung Financial,26.15
NAS0482,China Natural Resources,1.57
NAS0483,China Gerui Advanced Materials Group,1.17
NAS0484,Coherus BioSciences,28.98
NAS0485,C.H. Robinson Worldwide,67.24
NAS0486,Charter Communications,181.59
NAS0487,Chuy's Holdings,31.57
NAS0488,Cinedigm Cl A,0.57
NAS0489,CIFC,7.04
NAS0490,Colliers International Group,43.09
NAS0491,Cincinnati Financial,52.79
NAS0492,CNinsure ADR,7.81
NAS0493,Civista Bancshares,10.07
NAS0494,Citizens Holding,19.33
NAS0495,China Jo-Jo Drugstores,1.87
NAS0496,Carmike Cinemas,23.45
NAS0497,Carolina Bank Holdings (North Carolina),12.7
NAS0498,Caladrius Biosciences,1.44
NAS0499,CoLucid Pharmaceuticals,6.63
NAS0500,Collectors Universe,18.27
NAS0501,Celladon,1.12
NAS0502,Celldex Therapeutics,15.36
NAS0503,Clearfield,17.21
NAS0504,ClearSign Combustion,4.67
NAS0505,Cellectis ADR,33.23
NAS0506,Calamos Asset Management Cl A,10.61
NAS0507,Calumet Specialty Products Partners,26.11
NAS0508,Clean Energy Fuels,5.17
NAS0509,Cleantech Solutions International,1.48
NAS0510,Cellectar Biosciences,3.07
NAS0511,ClearOne,11.51
NAS0512,CollabRx,0.53
NAS0513,Celsion,2.06
NAS0514,Celsus Therapeutics ADR,2.42
NAS0515,Town Sports International Holdings,2.54
NAS0516,Clovis Oncology,80.54
NAS0517,Columbus McKinnon,18.73
NAS0518,Comcast Cl A,56.78
NAS0519,Comcast Cl A Special,57.62
NAS0520,CIM Commerical Trust,15.39
NAS0521,CME Group Cl A,94.62
NAS0522,CM Finance,11.17
NAS0523,Cumulus Media,1.42
NAS0524,Cimpress,73.46
NAS0525,Chimerix,50.48
NAS0526,Comtech Telecommunications,25.44
NAS0527,Conatus Pharmaceuticals,4.05
NAS0528,Century Bancorp Cl A,41.6
NAS0529,Concert Pharmaceuticals,15.95
NAS0530,ChinaNet Online Holdings,0.9
NAS0531,Conifer Holdings,10.39
NAS0532,China Information Technology,1.37
NAS0533,CB Pharma Acquisition,9.92
NAS0534,CB Pharma Acquisition Un,10.36
NAS0535,CONMED,53.77
NAS0536,ConnectOne Bancorp,19.01
NAS0537,Comverse,18.77
NAS0538,Consolidated Communications Holdings,19.76
NAS0539,China TechFaith Wireless Communication Technology ADR,0.81
NAS0540,Century Casinos,5.65
NAS0541,Cnova,4.43
NAS0542,Connecture,6.93
NAS0543,China Yida Holding,3.37
NAS0544,CommunityOne Bancorp,10.44
NAS0545,CoBiz Financial,12.84
NAS0546,Coherent,57.83
NAS0547,Cohu,9.65
NAS0548,Coca-Cola Bottling Consolidated,157.56
NAS0549,Columbia Banking System,30.05
NAS0550,Collegium Pharmaceutical,15.34
NAS0551,Columbia Sportswear,60.64
NAS0552,CommScope Holding,31.9
NAS0553,CyrusOne,32.3
NAS0554,Conn's,29.44
NAS0555,Majesco Entertainment,1.28
NAS0556,Core-Mark Holding,59.67
NAS0557,Corium International,10.45
NAS0558,Corcept Therapeutics,5.18
NAS0559,Cosi,1.17
NAS0560,Costco Wholesale,139.95
NAS0561,Covisint,2.7
NAS0562,Cowen Group,5.23
NAS0563,CounterPath,0.43
NAS0564,Canterbury Park Holding,10.3
NAS0565,Cepheid,50.36
NAS0566,Cipher Pharmaceuticals,5.46
NAS0567,Cumberland Pharmaceuticals,6.04
NAS0568,Capella Education,49.2
NAS0569,Capital Product Partners,6.85
NAS0570,Copart,34.99
NAS0571,Catalyst Pharmaceuticals,3.64
NAS0572,CPS Technologies,2.2
NAS0573,Computer Programs&Systems,45.63
NAS0574,Consumer Portfolio Services,5.6
NAS0575,Capstone Turbine,0.41
NAS0576,Celator Pharmaceuticals,2.09
NAS0577,CRA International,22.05
NAS0578,Cray,20.77
NAS0579,Corbus Pharmaceuticals Holdings,1.92
NAS0580,Cardica,0.35
NAS0581,Crossroads Systems,1
NAS0582,Cree,26.99
NAS0583,China Recycling Energy,0.7
NAS0584,Cresud ADR,10.35
NAS0585,Curis,2.59
NAS0586,Cardiome Pharma,8.85
NAS0587,America's Car-Mart,35.97
NAS0588,Ceragon Networks,1.43
NAS0589,Crocs,14.52
NAS0590,Cartesian,2.49
NAS0591,Criteo ADR,43.1
NAS0592,Cirrus Logic,30.21
NAS0593,Corvel,30.91
NAS0594,Crown Media Holdings Cl A,4.47
NAS0595,Crown Crafts,8.07
NAS0596,Carrizo Oil&Gas,35.38
NAS0597,Communications Sales&Leasing,20.6
NAS0598,Clifton Bancorp,13.62
NAS0599,Champions Oncology,6.29
NAS0600,Cascade Microtech,14.97
NAS0601,Cisco Systems,26
NAS0602,Centerstate Banks,13.59
NAS0603,CoStar Group,181.38
NAS0604,CSG Systems International,31.14
NAS0605,Cardiovascular Systems,24.24
NAS0606,Canadian Solar,18.83
NAS0607,Cornerstone OnDemand,36.17
NAS0608,CSP,5.71
NAS0609,CaesarStone Sdot-Yam,40.5
NAS0610,China Sunergy ADR,1.48
NAS0611,Cintas,85.37
NAS0612,Community Trust Bancorp,34.87
NAS0613,CTC Media,1.83
NAS0614,Constant Contact,25.04
NAS0615,Computer Task Group,6.51
NAS0616,Charles&Colvard,1.3
NAS0617,CTI Industries,3.61
NAS0618,CTI BioPharma,1.6
NAS0619,CareTrust REIT,11.32
NAS0620,Control4,8.97
NAS0621,Citi Trends,26.73
NAS0622,Ctrip.com International ADR,69.5
NAS0623,ContraVir Pharmaceuticals,3.68
NAS0624,Cognizant Technology Solutions,63.72
NAS0625,Cytosorbents,6.66
NAS0626,Connecticut Water Service,34.5
NAS0627,Citrix Systems,68.69
NAS0628,CUI Global,5.32
NAS0629,CU Bancorp,21.18
NAS0630,Neuralstem,1.51
NAS0631,Cutera,14.46
NAS0632,CVB Financial,16.02
NAS0633,Cavco Industries,71.58
NAS0634,Central Valley Community Bancorp,11.26
NAS0635,Commercial Vehicle Group,4.96
NAS0636,Calavo Growers,59.23
NAS0637,CommVault Systems,35.7
NAS0638,Codorus Valley Bancorp,20.32
NAS0639,Covenant Transportation Group Cl A,23.51
NAS0640,CVD Equipment,10.97
NAS0641,Coastway Bancorp,11.11
NAS0642,Community West Bancshares,6.7
NAS0643,Consolidated Water,10.94
NAS0644,Casella Waste Systems Cl A,6.25
NAS0645,China XD Plastics,5.72
NAS0646,Concordia Healthcare,75.18
NAS0647,Cypress Semiconductor,10.09
NAS0648,Cyanotech,7.56
NAS0649,CyberOptics,6.76
NAS0650,CyberArk Software,52.38
NAS0651,Cyberonics,67
NAS0652,Cyclacel Pharmaceuticals,0.56
NAS0653,Community Health Systems Rt,0.01
NAS0654,Cynapsus Therapeutics,16.17
NAS0655,Cynosure Cl A,31.49
NAS0656,Changyou.com ADR,20.64
NAS0657,CYREN,1.7
NAS0658,CryoPort,2.88
NAS0659,CryoPort WT,0.76
NAS0660,Cytokinetics,7
NAS0661,CytRx,2.39
NAS0662,Cytori Therapeutics,0.31
NAS0663,Citizens First,12.68
NAS0664,Citizens&Northern,19.84
NAS0665,Caesars Entertainment,9.17
NAS0666,Citizens Community Bancorp,8.97
NAS0667,Daegis,0.37
NAS0668,Data I/O,2.49
NAS0669,Daktronics,8.64
NAS0670,DARA Biosciences,0.86
NAS0671,Jiayuan.com International ADR,5.92
NAS0672,Famous Dave's of America,15.36
NAS0673,DBV Technologies ADR,41.26
NAS0674,Diana Containerships,1.74
NAS0675,Dime Community Bancshares,17.01
NAS0676,Delcath Systems,0.4
NAS0677,Delta Technology Holdings,2.52
NAS0678,Denny's,11.48
NAS0679,DepoMed,28.38
NAS0680,Dermira,27.24
NAS0681,Destination Maternity,11.13
NAS0682,Del Frisco's Restaurant Group,14.59
NAS0683,Delta Natural Gas,20.12
NAS0684,Donegal Group Cl A,14.27
NAS0685,Digi International,10.06
NAS0686,Digital Ally,8.33
NAS0687,Diamond Hill Investment Group,194.72
NAS0688,Dehaier Medical Systems,1.48
NAS0689,DHX Media Variable Voting,6.82
NAS0690,Diodes,19.93
NAS0691,Discovery Communications Series A,27.11
NAS0692,Discovery Communications Series C,25.71
NAS0693,DISH Network Cl A,59.62
NAS0694,Daily Journal,194.51
NAS0695,DLH Holdings,2.45
NAS0696,Dollar Tree,76.73
NAS0697,Dorchester Minerals,14.39
NAS0698,Diamond Foods,29.77
NAS0699,Digimarc,37.81
NAS0700,ProNAi Therapeutics,30.04
NAS0701,DNB Financial,25.76
NAS0702,Dunkin' Brands Group,51.69
NAS0703,Dorman Products,50.42
NAS0704,Amdocs,57.67
NAS0705,Dipexium Pharmaceuticals,13.52
NAS0706,Digirad,3.7
NAS0707,Dataram,1.31
NAS0708,Dicerna Pharmaceuticals,11.13
NAS0709,Durect,2.1
NAS0710,DragonWave,0.2
NAS0711,DragonWave WT,0.04
NAS0712,DryShips,0.44
NAS0713,Derma Sciences,5.93
NAS0714,Discovery Laboratories,0.42
NAS0715,Descartes Systems Group,17.1
NAS0716,DS Healthcare Group,3.28
NAS0717,iDreamSky Technology ADR,11
NAS0718,DSP Group,8.55
NAS0719,Deswell Industries,1.71
NAS0720,DAVIDsTEA,13.15
NAS0721,Datalink,5.85
NAS0722,DTS,27.07
NAS0723,Dynavax Technologies,29.76
NAS0724,Diversicare Healthcare Services,11.05
NAS0725,DreamWorks Animation SKG Cl A,20.29
NAS0726,Datawatch,5.26
NAS0727,Dawson Geophysical,4.54
